"source" "target" "weight" "type"
"age" "middle" 0.0606 "undirected"
"age" "status" 0.2391 "undirected"
"age" "number" 0.0422 "undirected"
"age" "doctors" 0.1099 "undirected"
"age" "online" 0.3395 "undirected"
"age" "prescription" 0.0081 "undirected"
"age" "telephone" 0.0305 "undirected"
"age" "public" 0.0215 "undirected"
"age" "bill" 0.0081 "undirected"
"age" "photo" 0.0533 "undirected"
"age" "qualifier" 0.0400 "undirected"
"age" "phone" 0.0665 "undirected"
"age" "flag" 0.2320 "undirected"
"age" "login" 0.0103 "undirected"
"age" "country" 0.0096 "undirected"
"age" "measurements" 0.0329 "undirected"
"age" "health" 0.0013 "undirected"
"age" "compromised" 0.0061 "undirected"
"age" "express" 0.1565 "undirected"
"age" "female" 0.0033 "undirected"
"age" "media" 0.6218 "undirected"
"age" "digits" 0.5623 "undirected"
"age" "history" 0.0701 "undirected"
"age" "settings" 0.0444 "undirected"
"age" "certification" 0.0917 "undirected"
"age" "score" 0.0118 "undirected"
"age" "design" 0.0473 "undirected"
"age" "level" 0.2241 "undirected"
"age" "mothers" 0.1836 "undirected"
"age" "dependants" 0.2698 "undirected"
"age" "site" 0.2030 "undirected"
"age" "corporation" 0.1019 "undirected"
"age" "children" 0.7465 "undirected"
"age" "locator" 0.0526 "undirected"
"age" "medicare" 0.1255 "undirected"
"age" "rank" 0.0410 "undirected"
"age" "social" 0.1906 "undirected"
"age" "utility" 0.0204 "undirected"
"age" "samsung" 0.0372 "undirected"
"age" "parents" 0.8808 "undirected"
"age" "sales" 0.0062 "undirected"
"age" "registration" 0.0204 "undirected"
"age" "network" 0.3058 "undirected"
"age" "service" 0.2061 "undirected"
"age" "android" 0.0216 "undirected"
"age" "equifax" 0.0884 "undirected"
"age" "insurer" 0.1789 "undirected"
"age" "bureau" 0.2196 "undirected"
"age" "military" 0.0988 "undirected"
"age" "internet" 0.1524 "undirected"
"age" "credit" 0.0293 "undirected"
"age" "student" 0.0493 "undirected"
"agency" "ssn" 0.0297 "undirected"
"agency" "sign" 0.1142 "undirected"
"agency" "name" 0.0154 "undirected"
"agency" "dependants" 0.0365 "undirected"
"agency" "accounts" 0.0123 "undirected"
"agency" "rank" 0.0003 "undirected"
"agency" "utility" 0.2170 "undirected"
"agency" "rating" 0.0105 "undirected"
"agency" "samsung" 0.0044 "undirected"
"agency" "refund" 0.0091 "undirected"
"agency" "network" 0.0412 "undirected"
"agency" "service" 0.2310 "undirected"
"agency" "equifax" 0.3916 "undirected"
"agency" "insurer" 0.0086 "undirected"
"agency" "bureau" 0.1743 "undirected"
"agency" "source" 0.3570 "undirected"
"agency" "military" 0.0040 "undirected"
"agency" "identity" 0.0815 "undirected"
"agency" "credit" 0.4610 "undirected"
"agency" "employer" 0.4790 "undirected"
"amazon" "system" 0.0129 "undirected"
"amazon" "media" 0.0500 "undirected"
"amazon" "group" 0.6517 "undirected"
"amazon" "history" 0.2838 "undirected"
"amazon" "settings" 0.0282 "undirected"
"amazon" "design" 0.1101 "undirected"
"amazon" "proof" 0.2978 "undirected"
"amazon" "user" 0.4291 "undirected"
"amazon" "store" 0.1658 "undirected"
"amazon" "accounts" 0.3282 "undirected"
"amazon" "locator" 0.0142 "undirected"
"amazon" "shopping" 0.4531 "undirected"
"amazon" "medicare" 0.0019 "undirected"
"amazon" "rank" 0.1159 "undirected"
"amazon" "website" 0.5426 "undirected"
"amazon" "email" 0.4250 "undirected"
"amazon" "samsung" 0.0169 "undirected"
"amazon" "photograph" 0.0209 "undirected"
"amazon" "registration" 0.0475 "undirected"
"amazon" "unique" 0.4772 "undirected"
"amazon" "android" 0.0609 "undirected"
"amazon" "banking" 0.4072 "undirected"
"amazon" "twitter" 0.6326 "undirected"
"amazon" "personal" 0.0206 "undirected"
"amazon" "computers" 0.0473 "undirected"
"amazon" "internet" 0.1022 "undirected"
"amazon" "passwords" 0.6538 "undirected"
